subject_name,class_mark
accountancy,HF
american history,"E,F"
american literature,PS
archaeology,CC
art,N
astrophysics,QB
biochemistry,"QP,RB"
biology,QH
biomedical science,"QR,RB"
botany,"QK,S"
british history,DA
business,"HD,HE,HF"
chemistry,QD
chinese,PL
computing,"QA,TK"
counselling and psychotherapy,RC
criminology,HV
ecology,QH
economics,"HA,HB,HC,HD,HE,HF,HG,HH,HI,HJ"
education,L
english language,PE
english literature,PR
environmental studies,"GE,GF"
film studies,PN
finance,"HG,HH,HI,HJ"
forensic science,HV
french,PC
geography,"G,GA,GB,GC,GD,GE,GF"
geology and geoscience,QE
german,PF
history,D
human biology,"QM,QN,QO,QP,QQ,QR"
human resource management,"HD,HE,HF"
international law,JX
international relations,JZ
italians,PC
japanese,PL
law,K
management and marketing,"HD,HE,HF"
mathematics,QA
media studies,P
medicinal chemistry,QP
medicine,R
mental health,"RA,RB,RC"
music technology,M T
music technology,ML
neuroscience,RC
nursing,RI
pharmacology,RM
pharmacy,RS
philosophy,"B,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,"
physics,QC
physiology,QP
physiotherapy,RM
politics,"J,JA,JB,JC,JD,JE,JF,JG,JH,JI,JJ,JK,JL,JM,JN,JO,JP,JQ,JR,JS,JT,JU,JV,JW,JX"
psychology,BF
radiography,RC
religion,"BL,BM,BN,BO,BP,BQ,BR,BS,BT,BU,BV,BW,BX"
russian,PG
social work,HV
sociology,"HM,HN,HO,HP,HQ,HR,HS,HT"
spanish,PC
veterinary medicine,SF
